RGT_1.A1ModJulian         RGT_1.Hellas_Planitia_GS.X   RGT_1.Hellas_Planitia_GS.Y   RGT_1.Hellas_Planitia_GS.Z   RGT_1.Valles_Marineris_GS.X   RGT_1.Valles_Marineris_GS.Y   RGT_1.Valles_Marineris_GS.Z   RGT_1.Schiaparelli_Crater_GS.X   RGT_1.Schiaparelli_Crater_GS.Y   RGT_1.Schiaparelli_Crater_GS.Z   RGT_1.Mawrth_Vallis_GS.X   RGT_1.Mawrth_Vallis_GS.Y   RGT_1.Mawrth_Vallis_GS.Z   RGT_1.Arcadia_Planitia_GS.X   RGT_1.Arcadia_Planitia_GS.Y   RGT_1.Arcadia_Planitia_GS.Z   
21545.00000039794         3368.355926877566            11758.26419612738            -7014.559927091899           1778.04893902353              -10473.99938793878            -10447.74200818578            593.7852767930709                2967.743863323547                -15781.86933397447               -4867.606622176758         -4817.050262916697         -14158.22928239232         -4867.606622176758            -4817.050262916697            -14158.22928239232            
21545.00069484238         3388.44050303052             11737.03533050985            -7064.533720239247           1748.50446637203              -10505.03567229849            -10408.81504932579            575.216853338491                 2914.596777444427                -15795.36140017057               -4876.573046086538         -4867.571727465736         -14131.422197516           -4876.573046086538            -4867.571727465736            -14131.422197516              
21545.00265623659         3444.812261856082            11675.81653536102            -7205.277744075949           1664.882594100197             -10591.56532276327            -10298.11546312596            522.7208138906672                2764.176698169422                -15832.13587380118               -4901.366763926615         -5009.740231794644         -14054.56008561566         -4901.366763926615            -5009.740231794644            -14054.56008561566            
21545.0066001969          3556.612595636071            11547.11468017712            -7486.365039779465           1496.068546150794             -10760.47055172449            -10072.18097965959            417.0413930969098                2460.391063385324                -15900.10423473323               -4948.759390261056         -5293.20164873111          -13894.944566151           -4948.759390261056            -5293.20164873111             -13894.944566151              
21545.01404749798         3762.346475112082            11283.9179257403             -8009.258927247047           1175.756264110134             -11060.61634863361            -9633.627082385696            217.8473406847538                1882.457939198147                -16006.55615677249               -5028.645215357723         -5819.212888686327         -13575.65252328444         -5028.645215357723            -5819.212888686327            -13575.65252328444            
21545.02224437489         3981.282720020736            10964.3435686224             -8570.948242418493           822.8357387585909             -11362.05073874829            -9133.486954930559            0.9040135616392035               1241.011766942225                -16090.44976056518               -5100.688876465357         -6383.198071286595         -13198.44414513879         -5100.688876465357            -6383.198071286595            -13198.44414513879            
21545.03053332426         4195.497428628097            10610.24264990819            -9121.763904010284           468.0959164747551             -11635.49782467987            -8609.979892170822            -213.7709121379935               588.2026019894215                -16139.72617996944               -5154.928828137655         -6936.320696271901         -12791.27503477445         -5154.928828137655            -6936.320696271901            -12791.27503477445            
21545.03883616529         4403.676145410534            10225.45751171918            -9653.728903221141           117.5248836369747             -11877.33054515403            -8068.683644894832            -421.7728399606108               -68.25454860707578               -16153.28894241282               -5188.859378553214         -7471.796448559136         -12359.41952937496         -5188.859378553214            -7471.796448559136            -12359.41952937496            
21545.04714456566         4606.408280956858            9811.515502689175            -10163.88928458906           -225.9676892691609            -12086.87824322913            -7511.176214526576            -620.656990224853                -726.0307415505872               -16131.20965128032               -5200.878219178581         -7987.842795612379         -11905.25696430598         -5200.878219178581            -7987.842795612379            -11905.25696430598            
21545.05546095964         4804.514599415252            9369.609300720802            -10650.11545076156           -560.0186152317774            -12263.93332087506            -6938.459384177188            -808.3594940930834               -1383.609799624523               -16073.75843837285               -5189.603958387406         -8483.442577274183         -11430.7078763634          -5189.603958387406            -8483.442577274183            -11430.7078763634             
